axis,model,bt_score,ci_low,ci_high,bt_rank,n_blocks,n_pairwise_preferences
coherence,MSDM,0.4416766697726015,0.2050791200454607,0.6919960426321968,2,101,1010
coherence,MSLDM,1.200831472877243,0.9670691050842958,1.4874592868854997,1,101,1010
coherence,MSG-LD,-1.255884713661503,-1.5842678993947603,-0.9764571422585032,5,101,1010
coherence,MSG-LD-ext,-0.8185993229871955,-1.0674942424249536,-0.5837866642737446,4,101,1010
coherence,MGE-LDM,0.43197589399885405,0.1733496287276466,0.690830458572339,3,101,1010
musicality,MSDM,0.5459437050980538,0.2743887491256171,0.8304455807369573,2,101,1010
musicality,MSLDM,0.7332863927949146,0.514366353459682,1.0008321068964892,1,101,1010
musicality,MSG-LD,-0.7659742922196938,-1.0158935088916385,-0.5219411392951804,5,101,1010
musicality,MSG-LD-ext,-0.73679646173996,-0.9829361534448956,-0.52780734505514,4,101,1010
musicality,MGE-LDM,0.22354065606668577,0.0035185538505200648,0.4399631297388652,3,101,1010
