clip_id,model,mean_human_rank,n_ratings,axis,sample_id
MGE-LDM/01,MGE-LDM,3.375,8,musicality,01
MGE-LDM/02,MGE-LDM,2.5,8,musicality,02
MGE-LDM/03,MGE-LDM,2.111111111111111,9,musicality,03
MGE-LDM/04,MGE-LDM,2.0,12,musicality,04
MGE-LDM/05,MGE-LDM,2.9166666666666665,12,musicality,05
MGE-LDM/06,MGE-LDM,2.5555555555555554,9,musicality,06
MGE-LDM/07,MGE-LDM,3.2,10,musicality,07
MGE-LDM/08,MGE-LDM,3.090909090909091,11,musicality,08
MGE-LDM/09,MGE-LDM,2.9166666666666665,12,musicality,09
MGE-LDM/10,MGE-LDM,2.9,10,musicality,10
MSDM/01,MSDM,1.9230769230769231,13,musicality,01
MSDM/02,MSDM,2.2,10,musicality,02
MSDM/03,MSDM,2.3333333333333335,9,musicality,03
MSDM/04,MSDM,2.272727272727273,11,musicality,04
MSDM/05,MSDM,2.0,9,musicality,05
MSDM/06,MSDM,2.375,8,musicality,06
MSDM/07,MSDM,2.3846153846153846,13,musicality,07
MSDM/08,MSDM,3.5555555555555554,9,musicality,08
MSDM/09,MSDM,2.4444444444444446,9,musicality,09
MSDM/10,MSDM,2.7,10,musicality,10
MSG-LD-ext/01,MSG-LD-ext,3.6363636363636362,11,musicality,01
MSG-LD-ext/02,MSG-LD-ext,4.6,5,musicality,02
MSG-LD-ext/03,MSG-LD-ext,3.4545454545454546,11,musicality,03
MSG-LD-ext/04,MSG-LD-ext,3.5,8,musicality,04
MSG-LD-ext/05,MSG-LD-ext,3.2,10,musicality,05
MSG-LD-ext/06,MSG-LD-ext,4.142857142857143,14,musicality,06
MSG-LD-ext/07,MSG-LD-ext,4.0,8,musicality,07
MSG-LD-ext/08,MSG-LD-ext,4.0,12,musicality,08
MSG-LD-ext/09,MSG-LD-ext,3.5833333333333335,12,musicality,09
MSG-LD-ext/10,MSG-LD-ext,4.3,10,musicality,10
MSG-LD/01,MSG-LD,3.4285714285714284,7,musicality,01
MSG-LD/02,MSG-LD,4.3,10,musicality,02
MSG-LD/03,MSG-LD,3.5714285714285716,14,musicality,03
MSG-LD/04,MSG-LD,3.6666666666666665,9,musicality,04
MSG-LD/05,MSG-LD,3.1,10,musicality,05
MSG-LD/06,MSG-LD,4.230769230769231,13,musicality,06
MSG-LD/07,MSG-LD,3.727272727272727,11,musicality,07
