axis,metric,score_direction,spearman_rho,ci_low,ci_high,p_value,raw_score_vs_rank_rho,n_clips,n_models,abs_rho,metric_rank
coherence,cocola_harmonic,higher_better,0.6686518542295955,0.46543316768121473,0.7986685056175978,1.1150509971880991e-07,-0.6686518542295955,50,5,0.6686518542295955,1
coherence,cocola_both,higher_better,0.6252341501480301,0.40914602564301267,0.7609512267070988,1.209457851125355e-06,-0.6252341501480301,50,5,0.6252341501480301,2
coherence,cbs,higher_better,0.5211815616064992,0.2857784312236217,0.7053363643696122,0.0001041487468955103,-0.5211815616064992,50,5,0.5211815616064992,3
coherence,irs,higher_better,-0.48427069718409793,-0.6946045367173467,-0.22520934286899155,0.0003660395469907337,0.48427069718409793,50,5,0.48427069718409793,4
coherence,cocola_percussive,higher_better,0.4581912576749275,0.1755541419755207,0.6479580617315682,0.0008196993946901363,-0.4581912576749275,50,5,0.4581912576749275,5
coherence,kad_clap,lower_better,0.43657846250158194,0.16275916108999866,0.6576850963508335,0.0015260374251672515,0.43657846250158194,50,5,0.43657846250158194,6
coherence,fad_clap,lower_better,0.42543586587887927,0.15117674870900447,0.6507413217481277,0.0020701005953564734,0.42543586587887927,50,5,0.42543586587887927,7
coherence,ta,higher_better,0.3238077001304362,0.050123739866905055,0.5516425750975871,0.021793866617954245,-0.3238077001304362,50,5,0.3238077001304362,8
coherence,fad_vggish,lower_better,0.31583498013315753,0.020559638415376072,0.5516584723305142,0.025460937359423803,0.31583498013315753,50,5,0.31583498013315753,9
coherence,cbd,lower_better,0.30944719844859103,0.03420009909677913,0.5441911576359646,0.02875984872891148,0.30944719844859103,50,5,0.30944719844859103,10
coherence,kad_vggish,lower_better,0.15791749006657876,-0.12804682953864482,0.4341257850548281,0.2733885961661188,0.15791749006657876,50,5,0.15791749006657876,11
musicality,cocola_both,higher_better,0.5247382369846623,0.2767291568846395,0.7137731264241837,9.155468441155582e-05,-0.5247382369846623,50,5,0.5247382369846623,1
musicality,cocola_harmonic,higher_better,0.5199827366677928,0.2811630665399266,0.6975118435140022,0.00010873791428446996,-0.5199827366677928,50,5,0.5199827366677928,2
musicality,kad_clap,lower_better,0.4436545548142018,0.19872679206942892,0.6411756890758998,0.0012506281393190972,0.4436545548142018,50,5,0.4436545548142018,3
musicality,fad_clap,lower_better,0.42501683640061255,0.17304153290956417,0.6219265672079993,0.002093559134057869,0.42501683640061255,50,5,0.42501683640061255,4
musicality,irs,higher_better,-0.3746277471844911,-0.5947214746950813,-0.11176036120812011,0.00735340355146951,0.3746277471844911,50,5,0.3746277471844911,5
musicality,cocola_percussive,higher_better,0.36367568584867066,0.0910688494587272,0.5858002484728818,0.009428989219065103,-0.36367568584867066,50,5,0.36367568584867066,6
musicality,cbs,higher_better,0.3605226647324778,0.08795784297539079,0.5781800808039552,0.010113220673414748,-0.3605226647324778,50,5,0.3605226647324778,7
musicality,ta,higher_better,0.29258335787930956,-0.01216322449994503,0.571389331270668,0.039216364599554764,-0.29258335787930956,50,5,0.29258335787930956,8
musicality,fad_vggish,lower_better,0.29095015575028366,-0.012971734504648802,0.5387801680644175,0.04037683966045947,0.29095015575028366,50,5,0.29095015575028366,9
musicality,cbd,lower_better,0.27024691699704406,-0.016812853047681073,0.49892678232322146,0.05768470984324058,0.27024691699704406,50,5,0.27024691699704406,10
musicality,kad_vggish,lower_better,0.20616775111114705,-0.08608353743261307,0.45549978580466927,0.1508779642618794,0.20616775111114705,50,5,0.20616775111114705,11
