axis,model,mean_rank,ci_low,ci_high,n_trials
musicality,MSDM,2.396039603960396,2.128712871287129,2.6834158415841585,101
musicality,MSLDM,2.198019801980198,1.9702970297029703,2.4455445544554455,101
musicality,MSG-LD,3.8415841584158414,3.594059405940594,4.069306930693069,101
musicality,MSG-LD-ext,3.8118811881188117,3.5841584158415842,4.0,101
musicality,MGE-LDM,2.7524752475247523,2.49480198019802,2.9804455445544553,101
coherence,MSDM,2.5544554455445545,2.3366336633663365,2.782178217821782,101
coherence,MSLDM,1.8316831683168318,1.6435643564356435,2.0396039603960396,101
coherence,MSG-LD,4.217821782178218,4.00990099009901,4.415841584158416,101
coherence,MSG-LD-ext,3.8316831683168315,3.623762376237624,4.02970297029703,101
coherence,MGE-LDM,2.5643564356435644,2.3363861386138614,2.8220297029702968,101
