axis,source,metric,score_direction,spearman_rho,ci_low,ci_high,top1_accuracy,pairwise_rank_inversions,n_model_pairs,pairwise_rank_inversion_rate,metric_top_model,human_top_model,n_models,abs_rho
coherence,clip_mean,cbd,lower_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
coherence,clip_mean,cbs,higher_better,0.7,-0.8749999999999999,1.0,0,2,10,0.2,MGE-LDM,MSLDM,5,0.7
coherence,clip_mean,cocola_both,higher_better,0.7,-0.8749999999999999,1.0,1,2,10,0.2,MSLDM,MSLDM,5,0.7
coherence,clip_mean,cocola_harmonic,higher_better,0.7,-0.8749999999999999,1.0,1,2,10,0.2,MSLDM,MSLDM,5,0.7
coherence,clip_mean,cocola_percussive,higher_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
coherence,clip_mean,fad_clap,lower_better,0.8999999999999998,0.1111111111111111,1.0,1,1,10,0.1,MSLDM,MSLDM,5,0.8999999999999998
coherence,clip_mean,fad_vggish,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MGE-LDM,MSLDM,5,0.6
coherence,clip_mean,irs,higher_better,-0.49999999999999994,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.49999999999999994
coherence,clip_mean,kad_clap,lower_better,0.8999999999999998,0.1111111111111111,1.0,1,1,10,0.1,MSLDM,MSLDM,5,0.8999999999999998
coherence,clip_mean,kad_vggish,lower_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
coherence,clip_mean,ta,higher_better,0.7,-0.6666666666666666,1.0,1,2,10,0.2,MSLDM,MSLDM,5,0.7
coherence,table,ba,higher_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
coherence,table,cbd,lower_better,0.49999999999999994,-1.0,1.0,0,3,10,0.3,MGE-LDM,MSLDM,5,0.49999999999999994
coherence,table,cbs,higher_better,0.7,-0.8749999999999999,1.0,0,2,10,0.2,MGE-LDM,MSLDM,5,0.7
coherence,table,cocola_both,higher_better,0.3,-1.0,1.0,1,4,10,0.4,MSLDM,MSLDM,5,0.3
coherence,table,cocola_harmonic,higher_better,0.3,-1.0,1.0,1,4,10,0.4,MSLDM,MSLDM,5,0.3
coherence,table,cocola_percussive,higher_better,0.09999999999999999,-1.0,1.0,1,5,10,0.5,MSLDM,MSLDM,5,0.09999999999999999
coherence,table,fad_clap,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.6
coherence,table,fad_vggish,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.6
coherence,table,irs,higher_better,-0.8999999999999998,-1.0,-0.1111111111111111,0,9,10,0.9,MSG-LD-ext,MSLDM,5,0.8999999999999998
coherence,table,kad,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.6
coherence,table,mel_mse,lower_better,-0.7999999999999999,-1.0,1.0,0,5,6,0.8333333333333334,MSG-LD-ext,MSDM,4,0.7999999999999999
musicality,clip_mean,cbd,lower_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
musicality,clip_mean,cbs,higher_better,0.7,-0.8749999999999999,1.0,0,2,10,0.2,MGE-LDM,MSLDM,5,0.7
musicality,clip_mean,cocola_both,higher_better,0.7,-0.8749999999999999,1.0,1,2,10,0.2,MSLDM,MSLDM,5,0.7
musicality,clip_mean,cocola_harmonic,higher_better,0.7,-0.8749999999999999,1.0,1,2,10,0.2,MSLDM,MSLDM,5,0.7
musicality,clip_mean,cocola_percussive,higher_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
musicality,clip_mean,fad_clap,lower_better,0.8999999999999998,0.1111111111111111,1.0,1,1,10,0.1,MSLDM,MSLDM,5,0.8999999999999998
musicality,clip_mean,fad_vggish,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MGE-LDM,MSLDM,5,0.6
musicality,clip_mean,irs,higher_better,-0.49999999999999994,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.49999999999999994
musicality,clip_mean,kad_clap,lower_better,0.8999999999999998,0.1111111111111111,1.0,1,1,10,0.1,MSLDM,MSLDM,5,0.8999999999999998
musicality,clip_mean,kad_vggish,lower_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
musicality,clip_mean,ta,higher_better,0.7,-0.6666666666666666,1.0,1,2,10,0.2,MSLDM,MSLDM,5,0.7
musicality,table,ba,higher_better,0.39999999999999997,-1.0,1.0,1,3,10,0.3,MSLDM,MSLDM,5,0.39999999999999997
musicality,table,cbd,lower_better,0.49999999999999994,-1.0,1.0,0,3,10,0.3,MGE-LDM,MSLDM,5,0.49999999999999994
musicality,table,cbs,higher_better,0.7,-0.8749999999999999,1.0,0,2,10,0.2,MGE-LDM,MSLDM,5,0.7
musicality,table,cocola_both,higher_better,0.3,-1.0,1.0,1,4,10,0.4,MSLDM,MSLDM,5,0.3
musicality,table,cocola_harmonic,higher_better,0.3,-1.0,1.0,1,4,10,0.4,MSLDM,MSLDM,5,0.3
musicality,table,cocola_percussive,higher_better,0.09999999999999999,-1.0,1.0,1,5,10,0.5,MSLDM,MSLDM,5,0.09999999999999999
musicality,table,fad_clap,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.6
musicality,table,fad_vggish,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.6
musicality,table,irs,higher_better,-0.8999999999999998,-1.0,-0.1111111111111111,0,9,10,0.9,MSG-LD-ext,MSLDM,5,0.8999999999999998
musicality,table,kad,lower_better,-0.6,-1.0,1.0,0,7,10,0.7,MSG-LD-ext,MSLDM,5,0.6
musicality,table,mel_mse,lower_better,-0.7999999999999999,-1.0,1.0,0,5,6,0.8333333333333334,MSG-LD-ext,MSDM,4,0.7999999999999999
