axis,model_a,model_b,median_rank_a,median_rank_b,p_value,p_value_holm,significant
musicality,MSDM,MSLDM,2.0,2.0,0.23674984248893005,0.4734996849778601,False
musicality,MSDM,MSG-LD,2.0,4.0,4.7076762908814997e-08,3.29537340361705e-07,True
musicality,MSDM,MSG-LD-ext,2.0,4.0,9.968653558811835e-09,7.974922847049468e-08,True
musicality,MSDM,MGE-LDM,2.0,3.0,0.03632183196717889,0.10896549590153667,False
musicality,MSLDM,MSG-LD,2.0,4.0,4.1755952351010774e-11,3.75803571159097e-10,True
musicality,MSLDM,MSG-LD-ext,2.0,4.0,3.5322337020363748e-12,3.532233702036375e-11,True
musicality,MSLDM,MGE-LDM,2.0,3.0,0.007089962431868122,0.028359849727472488,True
musicality,MSG-LD,MSG-LD-ext,4.0,4.0,0.8193910751726512,0.8193910751726512,False
musicality,MSG-LD,MGE-LDM,4.0,3.0,2.0858772671652926e-06,1.0429386335826463e-05,True
musicality,MSG-LD-ext,MGE-LDM,4.0,3.0,7.461492200153425e-07,4.476895320092055e-06,True
coherence,MSDM,MSLDM,2.0,2.0,6.891487520048824e-05,0.00027565950080195295,True
coherence,MSDM,MSG-LD,2.0,5.0,1.3603641522799733e-11,1.0882913218239787e-10,True
coherence,MSDM,MSG-LD-ext,2.0,4.0,4.256146937527608e-09,2.4066432553382083e-08,True
coherence,MSDM,MGE-LDM,2.0,3.0,0.9202163414800552,0.9202163414800552,False
coherence,MSLDM,MSG-LD,2.0,5.0,1.1628244889816653e-16,1.1628244889816654e-15,True
coherence,MSLDM,MSG-LD-ext,2.0,4.0,9.555321371465335e-15,8.599789234318802e-14,True
coherence,MSLDM,MGE-LDM,2.0,3.0,0.000617898728062785,0.0018536961841883553,True
coherence,MSG-LD,MSG-LD-ext,5.0,4.0,0.010984222516318807,0.021968445032637614,True
coherence,MSG-LD,MGE-LDM,5.0,3.0,4.173770434841871e-11,2.9216393043893097e-10,True
coherence,MSG-LD-ext,MGE-LDM,4.0,3.0,4.011072092230347e-09,2.4066432553382083e-08,True
