axis,model,win_rate,top2_rate,n_trials
musicality,MSDM,0.37623762376237624,0.6138613861386139,101
musicality,MSLDM,0.3564356435643564,0.6435643564356436,101
musicality,MSG-LD,0.04950495049504951,0.1782178217821782,101
musicality,MSG-LD-ext,0.0297029702970297,0.13861386138613863,101
musicality,MGE-LDM,0.18811881188118812,0.42574257425742573,101
coherence,MSDM,0.22772277227722773,0.5148514851485149,101
coherence,MSLDM,0.48514851485148514,0.7722772277227723,101
coherence,MSG-LD,0.019801980198019802,0.09900990099009901,101
coherence,MSG-LD-ext,0.009900990099009901,0.1188118811881188,101
coherence,MGE-LDM,0.25742574257425743,0.49504950495049505,101
