axis,metric,score_direction,spearman_rho,ci_low,ci_high,p_value,raw_score_vs_rank_rho,n_clips,n_models,abs_rho,metric_rank
coherence,cocola_harmonic,higher_better,0.7883993729600017,0.6104081444677049,0.8862454736877002,1.5406541172948727e-09,-0.7883993729600017,40,4,0.7883993729600017,1
coherence,cocola_both,higher_better,0.7208222838491445,0.502678168404506,0.8353794563250464,1.557903894905275e-07,-0.7208222838491445,40,4,0.7208222838491445,2
coherence,cocola_percussive,higher_better,0.6066920889063633,0.30435892750797316,0.7714560919761567,3.3252406609967396e-05,-0.6066920889063633,40,4,0.6066920889063633,3
coherence,cbs,higher_better,0.6040924262026006,0.3917806150786454,0.7610544036197524,3.6683744791802675e-05,-0.6040924262026006,40,4,0.6040924262026006,4
coherence,irs,higher_better,-0.5916749579928394,-0.7733034658153043,-0.337497191648096,5.796249713511392e-05,0.5916749579928394,40,4,0.5916749579928394,5
coherence,fad_vggish,lower_better,0.5582618417102488,0.2652690920203489,0.7864509821577467,0.00018164227055978335,0.5582618417102488,40,4,0.5582618417102488,6
coherence,kad_clap,lower_better,0.5264442955872202,0.23456681315012554,0.7309358474704392,0.00048411234017592863,0.5264442955872202,40,4,0.5264442955872202,7
coherence,fad_clap,lower_better,0.5177155882437344,0.2198129855465773,0.7282276560874413,0.0006231058027967238,0.5177155882437344,40,4,0.5177155882437344,8
coherence,kad_vggish,lower_better,0.3591910000378484,0.07782952919786672,0.5807396916662659,0.02283141845625135,0.3591910000378484,40,4,0.3591910000378484,9
coherence,cbd,lower_better,0.3193956031170102,0.0031023597023932506,0.5820715918799738,0.04454317956018353,0.3193956031170102,40,4,0.3193956031170102,10
coherence,ta,higher_better,0.29320948108655304,-0.04317645872895823,0.55704225997766,0.06632706995452324,-0.29320948108655304,40,4,0.29320948108655304,11
musicality,cocola_harmonic,higher_better,0.6993197471316026,0.4998253970713963,0.8054539043502589,5.164407692914789e-07,-0.6993197471316026,40,4,0.6993197471316026,1
musicality,cocola_both,higher_better,0.6947220458556803,0.45358672499656427,0.8100522076828693,6.583944057079001e-07,-0.6947220458556803,40,4,0.6947220458556803,2
musicality,cocola_percussive,higher_better,0.6174994305478434,0.3550610510471875,0.7327078158348767,2.1899079519123143e-05,-0.6174994305478434,40,4,0.6174994305478434,3
musicality,cbs,higher_better,0.5782115143579807,0.3369898096752466,0.7498886936270998,9.32240021877055e-05,-0.5782115143579807,40,4,0.5782115143579807,4
musicality,fad_vggish,lower_better,0.57377435310744,0.2923945557647323,0.7743804794979812,0.00010853760642775442,0.57377435310744,40,4,0.57377435310744,5
musicality,kad_clap,lower_better,0.5728360467245988,0.3194822690116374,0.7358860183182192,0.00011205384989321647,0.5728360467245988,40,4,0.5728360467245988,6
musicality,fad_clap,lower_better,0.5644851199173113,0.31244457975586803,0.7314528187391579,0.00014819475917401064,0.5644851199173113,40,4,0.5644851199173113,7
musicality,irs,higher_better,-0.48275863397183616,-0.7027659414389319,-0.17751410039506132,0.0016049027103909005,0.48275863397183616,40,4,0.48275863397183616,8
musicality,kad_vggish,lower_better,0.3624677556915847,0.06833508353447355,0.5851347077321354,0.021531187195904213,0.3624677556915847,40,4,0.3624677556915847,9
musicality,cbd,lower_better,0.25324889272886025,-0.07149973494629676,0.5443900182969624,0.11485926644286079,0.25324889272886025,40,4,0.25324889272886025,10
musicality,ta,higher_better,0.20295567060856787,-0.16309909614423804,0.5314734259664126,0.2091080133730745,-0.20295567060856787,40,4,0.20295567060856787,11
