axis,source,metric,score_direction,spearman_rho,ci_low,ci_high,top1_accuracy,pairwise_rank_inversions,n_model_pairs,pairwise_rank_inversion_rate,metric_top_model,human_top_model,n_models,abs_rho
coherence,clip_mean,cbd,lower_better,0.39999999999999997,-1.0,1.0,1,2,6,0.3333333333333333,MSLDM,MSLDM,4,0.39999999999999997
coherence,clip_mean,cbs,higher_better,0.7999999999999999,-1.0,1.0,0,1,6,0.16666666666666666,MGE-LDM,MSLDM,4,0.7999999999999999
coherence,clip_mean,cocola_both,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,clip_mean,cocola_harmonic,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,clip_mean,cocola_percussive,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,clip_mean,fad_clap,lower_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,clip_mean,fad_vggish,lower_better,-0.19999999999999998,-1.0,1.0,0,3,6,0.5,MGE-LDM,MSLDM,4,0.19999999999999998
coherence,clip_mean,irs,higher_better,-0.7999999999999999,-1.0,1.0,0,5,6,0.8333333333333334,MSG-LD-ext,MSLDM,4,0.7999999999999999
coherence,clip_mean,kad_clap,lower_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,clip_mean,kad_vggish,lower_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,clip_mean,ta,higher_better,0.39999999999999997,-1.0,1.0,1,2,6,0.3333333333333333,MSLDM,MSLDM,4,0.39999999999999997
coherence,table,ba,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
coherence,table,cbd,lower_better,0.7999999999999999,-1.0,1.0,0,1,6,0.16666666666666666,MGE-LDM,MSLDM,4,0.7999999999999999
coherence,table,cbs,higher_better,0.7999999999999999,-1.0,1.0,0,1,6,0.16666666666666666,MGE-LDM,MSLDM,4,0.7999999999999999
coherence,table,cocola_both,higher_better,0.7999999999999999,-1.0,1.0,1,1,6,0.16666666666666666,MSLDM,MSLDM,4,0.7999999999999999
coherence,table,cocola_harmonic,higher_better,0.7999999999999999,-1.0,1.0,1,1,6,0.16666666666666666,MSLDM,MSLDM,4,0.7999999999999999
coherence,table,cocola_percussive,higher_better,0.39999999999999997,-1.0,1.0,1,2,6,0.3333333333333333,MSLDM,MSLDM,4,0.39999999999999997
coherence,table,fad_clap,lower_better,-0.6000000000000001,-1.0,1.0,0,4,6,0.6666666666666666,MSG-LD-ext,MSLDM,4,0.6000000000000001
coherence,table,fad_vggish,lower_better,-0.6000000000000001,-1.0,1.0,0,4,6,0.6666666666666666,MSG-LD-ext,MSLDM,4,0.6000000000000001
coherence,table,irs,higher_better,-0.7999999999999999,-1.0,1.0,0,5,6,0.8333333333333334,MSG-LD-ext,MSLDM,4,0.7999999999999999
coherence,table,kad,lower_better,-0.6000000000000001,-1.0,1.0,0,4,6,0.6666666666666666,MSG-LD-ext,MSLDM,4,0.6000000000000001
coherence,table,mel_mse,lower_better,-0.5,-1.0,1.0,0,2,3,0.6666666666666666,MSG-LD-ext,MGE-LDM,3,0.5
musicality,clip_mean,cbd,lower_better,0.39999999999999997,-1.0,1.0,1,2,6,0.3333333333333333,MSLDM,MSLDM,4,0.39999999999999997
musicality,clip_mean,cbs,higher_better,0.7999999999999999,-1.0,1.0,0,1,6,0.16666666666666666,MGE-LDM,MSLDM,4,0.7999999999999999
musicality,clip_mean,cocola_both,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,clip_mean,cocola_harmonic,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,clip_mean,cocola_percussive,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,clip_mean,fad_clap,lower_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,clip_mean,fad_vggish,lower_better,-0.19999999999999998,-1.0,1.0,0,3,6,0.5,MGE-LDM,MSLDM,4,0.19999999999999998
musicality,clip_mean,irs,higher_better,-0.7999999999999999,-1.0,1.0,0,5,6,0.8333333333333334,MSG-LD-ext,MSLDM,4,0.7999999999999999
musicality,clip_mean,kad_clap,lower_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,clip_mean,kad_vggish,lower_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,clip_mean,ta,higher_better,0.39999999999999997,-1.0,1.0,1,2,6,0.3333333333333333,MSLDM,MSLDM,4,0.39999999999999997
musicality,table,ba,higher_better,1.0,1.0,1.0,1,0,6,0.0,MSLDM,MSLDM,4,1.0
musicality,table,cbd,lower_better,0.7999999999999999,-1.0,1.0,0,1,6,0.16666666666666666,MGE-LDM,MSLDM,4,0.7999999999999999
musicality,table,cbs,higher_better,0.7999999999999999,-1.0,1.0,0,1,6,0.16666666666666666,MGE-LDM,MSLDM,4,0.7999999999999999
musicality,table,cocola_both,higher_better,0.7999999999999999,-1.0,1.0,1,1,6,0.16666666666666666,MSLDM,MSLDM,4,0.7999999999999999
musicality,table,cocola_harmonic,higher_better,0.7999999999999999,-1.0,1.0,1,1,6,0.16666666666666666,MSLDM,MSLDM,4,0.7999999999999999
musicality,table,cocola_percussive,higher_better,0.39999999999999997,-1.0,1.0,1,2,6,0.3333333333333333,MSLDM,MSLDM,4,0.39999999999999997
musicality,table,fad_clap,lower_better,-0.6000000000000001,-1.0,1.0,0,4,6,0.6666666666666666,MSG-LD-ext,MSLDM,4,0.6000000000000001
musicality,table,fad_vggish,lower_better,-0.6000000000000001,-1.0,1.0,0,4,6,0.6666666666666666,MSG-LD-ext,MSLDM,4,0.6000000000000001
musicality,table,irs,higher_better,-0.7999999999999999,-1.0,1.0,0,5,6,0.8333333333333334,MSG-LD-ext,MSLDM,4,0.7999999999999999
musicality,table,kad,lower_better,-0.6000000000000001,-1.0,1.0,0,4,6,0.6666666666666666,MSG-LD-ext,MSLDM,4,0.6000000000000001
musicality,table,mel_mse,lower_better,-0.5,-1.0,1.0,0,2,3,0.6666666666666666,MSG-LD-ext,MGE-LDM,3,0.5
