source,model,metric,score,score_direction
clip_mean,MGE-LDM,fad_vggish,0.5280467569828033,lower_better
clip_mean,MGE-LDM,fad_clap,1.0044861137866974,lower_better
clip_mean,MGE-LDM,kad_vggish,0.23833158615952996,lower_better
clip_mean,MGE-LDM,kad_clap,0.4025815302525328,lower_better
clip_mean,MGE-LDM,irs,0.05640695543941826,higher_better
clip_mean,MGE-LDM,cbs,0.5711923799108025,higher_better
clip_mean,MGE-LDM,cbd,0.3318285040135057,lower_better
clip_mean,MGE-LDM,cocola_both,59.233356666564944,higher_better
clip_mean,MGE-LDM,cocola_harmonic,62.07693748474121,higher_better
clip_mean,MGE-LDM,cocola_percussive,62.99701633453369,higher_better
clip_mean,MGE-LDM,ta,0.3149695763340783,higher_better
clip_mean,MSDM,fad_vggish,1.498868703842163,lower_better
clip_mean,MSDM,fad_clap,1.0778632521629334,lower_better
clip_mean,MSDM,kad_vggish,0.2855051458252099,lower_better
clip_mean,MSDM,kad_clap,0.45226454083068834,lower_better
clip_mean,MSDM,irs,0.0583990905001708,higher_better
clip_mean,MSDM,cbs,0.39062382067876233,higher_better
clip_mean,MSDM,cbd,0.3290910930939412,lower_better
clip_mean,MSDM,cocola_both,55.27187089920044,higher_better
clip_mean,MSDM,cocola_harmonic,56.21166839599609,higher_better
clip_mean,MSDM,cocola_percussive,57.66463937759399,higher_better
clip_mean,MSDM,ta,0.49615381488848875,higher_better
clip_mean,MSG-LD,fad_vggish,0.9159800827503204,lower_better
clip_mean,MSG-LD,fad_clap,1.1428800463676452,lower_better
clip_mean,MSG-LD,kad_vggish,0.2622604668510583,lower_better
clip_mean,MSG-LD,kad_clap,0.49517800156219466,lower_better
clip_mean,MSG-LD,irs,0.05806602686659786,higher_better
clip_mean,MSG-LD,cbs,0.343216948197094,higher_better
clip_mean,MSG-LD,cbd,0.3257348572829962,lower_better
clip_mean,MSG-LD,cocola_both,53.64346866607666,higher_better
clip_mean,MSG-LD,cocola_harmonic,54.16208791732788,higher_better
clip_mean,MSG-LD,cocola_percussive,59.16471862792969,higher_better
clip_mean,MSG-LD,ta,0.3924356909957173,higher_better
clip_mean,MSG-LD-ext,fad_vggish,0.6999933838844299,lower_better
clip_mean,MSG-LD-ext,fad_clap,1.0967370927333833,lower_better
clip_mean,MSG-LD-ext,kad_vggish,0.24583404663926628,lower_better
clip_mean,MSG-LD-ext,kad_clap,0.46308911387069684,lower_better
clip_mean,MSG-LD-ext,irs,0.06180221408732848,higher_better
clip_mean,MSG-LD-ext,cbs,0.3654033925568367,higher_better
clip_mean,MSG-LD-ext,cbd,0.37207851293630917,lower_better
clip_mean,MSG-LD-ext,cocola_both,57.20475721359253,higher_better
clip_mean,MSG-LD-ext,cocola_harmonic,57.50360021591187,higher_better
