axis,model_a,model_b,mean_rank_gap,critical_difference,significant
musicality,MSLDM,MSG-LD,1.3366336633663367,0.46671113349037635,True
musicality,MSLDM,MSG-LD-ext,1.3267326732673268,0.46671113349037635,True
musicality,MSLDM,MGE-LDM,0.3267326732673268,0.46671113349037635,False
musicality,MSG-LD,MSG-LD-ext,0.00990099009900991,0.46671113349037635,False
musicality,MSG-LD,MGE-LDM,1.00990099009901,0.46671113349037635,True
musicality,MSG-LD-ext,MGE-LDM,1.0,0.46671113349037635,True
coherence,MSLDM,MSG-LD,1.900990099009901,0.46671113349037635,True
coherence,MSLDM,MSG-LD-ext,1.603960396039604,0.46671113349037635,True
coherence,MSLDM,MGE-LDM,0.5940594059405941,0.46671113349037635,True
coherence,MSG-LD,MSG-LD-ext,0.29702970297029685,0.46671113349037635,False
coherence,MSG-LD,MGE-LDM,1.3069306930693068,0.46671113349037635,True
coherence,MSG-LD-ext,MGE-LDM,1.00990099009901,0.46671113349037635,True
