axis,participant_id,trial_number,block_id,winner,loser
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0,MSLDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0,MSG-LD-ext,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0,MGE-LDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0,MSG-LD-ext,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0,MGE-LDM,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,1,0,MGE-LDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1,MSLDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1,MSLDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1,MSLDM,MGE-LDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1,MSG-LD-ext,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1,MGE-LDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,2,1,MGE-LDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,2,MGE-LDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,2,MSG-LD-ext,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,2,MSLDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,2,MGE-LDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,2,MGE-LDM,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,4,2,MSLDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,3,MSLDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,3,MSG-LD-ext,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,3,MGE-LDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,3,MSG-LD-ext,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,3,MGE-LDM,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,5,3,MGE-LDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,6,4,MGE-LDM,MSG-LD-ext
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,6,4,MGE-LDM,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,6,4,MGE-LDM,MSG-LD
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,6,4,MSG-LD-ext,MSLDM
musicality,1488dded-1f11-467f-bb52-1cf1e7b2e6c4,6,4,MSG-LD-ext,MSG-LD
