axis,model_a,model_b,median_rank_a,median_rank_b,p_value,p_value_holm,significant
musicality,MSLDM,MSG-LD,1.0,3.0,1.0846608297919931e-10,5.423304148959965e-10,True
musicality,MSLDM,MSG-LD-ext,1.0,3.0,1.2384269144439205e-11,7.430561486663523e-11,True
musicality,MSLDM,MGE-LDM,1.0,2.0,0.0640589687387752,0.1281179374775504,False
musicality,MSG-LD,MSG-LD-ext,3.0,3.0,0.9659939460200183,0.9659939460200183,False
musicality,MSG-LD,MGE-LDM,3.0,2.0,3.274943058315181e-07,9.824829174945543e-07,True
musicality,MSG-LD-ext,MGE-LDM,3.0,2.0,5.094107673296975e-08,2.03764306931879e-07,True
coherence,MSLDM,MSG-LD,1.0,4.0,1.2021140345785298e-16,7.212684207471179e-16,True
coherence,MSLDM,MSG-LD-ext,1.0,3.0,9.275899177540736e-15,4.6379495887703684e-14,True
coherence,MSLDM,MGE-LDM,1.0,2.0,0.00019694407895373082,0.00039388815790746164,True
coherence,MSG-LD,MSG-LD-ext,4.0,3.0,0.019765311993516874,0.019765311993516874,True
coherence,MSG-LD,MGE-LDM,4.0,2.0,4.169101435786248e-11,1.6676405743144992e-10,True
coherence,MSG-LD-ext,MGE-LDM,3.0,2.0,1.792007327748262e-09,5.376021983244786e-09,True
